context_precision_without_reference,context_precision_with_reference,context_recall,context_entity_recall,context_noise_sensitivity,context_semantic_similarity,faithfulness,context_response_relevancy,context_factual_correctness,bleu,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougel_precision,rougel_recall,rougel_f1,id
0.9999999999,0.9999999999,1.0,0.0,0.0,0.9551371724032256,1.0,0.6142801858673517,1.0,0.3086194627209984,0.72,0.9473684210526315,0.8181818181818181,0.625,0.8333333333333334,0.7142857142857143,0.72,0.9473684210526315,0.8181818181818181,1
0.99999999995,0.99999999995,1.0,0.0,0.6666666666666666,0.5871324770101611,1.0,0.45794306192657475,0.67,0.5623413251903491,0.20454545454545456,1.0,0.339622641509434,0.18604651162790697,1.0,0.3137254901960785,0.20454545454545456,1.0,0.339622641509434,2
0.3333333333,0.0,0.0,0.0,0.0,0.6779988308420619,0.8333333333333334,0.2924353524818344,0.0,0.12547530994780284,0.15384615384615385,0.25,0.1904761904761905,0.058823529411764705,0.0967741935483871,0.07317073170731708,0.1346153846153846,0.21875,0.16666666666666669,3
0.9999999999,0.9999999999,1.0,0.0,0.6666666666666666,0.7111110785869738,1.0,0.41433244261193,0.0,0.0,0.5142857142857142,1.0,0.6792452830188679,0.5,1.0,0.6666666666666666,0.5142857142857142,1.0,0.6792452830188679,4
0.9999999999666667,0.0,0.0,0.0,0.0,0.5353568450056925,1.0,0.2634137361327185,0.0,0.0,0.13043478260869565,0.21428571428571427,0.16216216216216214,0.01098901098901099,0.01818181818181818,0.0136986301369863,0.10869565217391304,0.17857142857142858,0.13513513513513511,5
0.9999999999666667,0.9999999999666667,1.0,0.0,0.0,0.8088462857227817,1.0,0.3024636644602914,1.0,0.0,0.56,0.7777777777777778,0.6511627906976745,0.4166666666666667,0.5882352941176471,0.48780487804878053,0.56,0.7777777777777778,0.6511627906976745,6
0.9999999999,0.9999999999,1.0,0.249999999375,0.25,0.9277177453917824,0.75,0.525852317395342,0.57,0.0,0.7948717948717948,0.8157894736842105,0.8051948051948051,0.7631578947368421,0.7837837837837838,0.7733333333333334,0.7948717948717948,0.8157894736842105,0.8051948051948051,7
0.49999999995,0.0,0.0,0.0,0.0,0.6851951984538818,0.6666666666666666,0.31587974087342996,0.0,0.0,0.125,0.26666666666666666,0.1702127659574468,0.06349206349206349,0.13793103448275862,0.08695652173913042,0.125,0.26666666666666666,0.1702127659574468,8
0.8333333332916666,0.9999999999,1.0,0.0,0.5769230769230769,0.9191736273880675,1.0,0.6222278455236628,0.73,0.0051146501783410625,0.32786885245901637,0.9230769230769231,0.4838709677419355,0.23076923076923078,0.65625,0.34146341463414637,0.3114754098360656,0.8769230769230769,0.4596774193548387,9
0.8333333332916666,0.8333333332916666,1.0,0.7499999981250001,0.0,0.892443119780841,1.0,0.445281334638344,0.43,0.0030204197170134897,0.42857142857142855,0.6710526315789473,0.5230769230769231,0.3305084745762712,0.52,0.40414507772020725,0.3865546218487395,0.6052631578947368,0.4717948717948718,10
0.0,0.0,0.0,0.0,0.0,0.7900698969285949,1.0,0.0,0.62,0.0,0.11,0.4230769230769231,0.1746031746031746,0.020202020202020204,0.08,0.03225806451612903,0.07,0.2692307692307692,0.1111111111111111,11
0.9999999999,0.9999999999,1.0,0.0,0.0,0.9726482838294608,1.0,0.7003608060065378,1.0,0.0,0.7796610169491526,0.9787234042553191,0.8679245283018868,0.5862068965517241,0.7391304347826086,0.6538461538461539,0.7457627118644068,0.9361702127659575,0.8301886792452831,12
0.3333333333,0.3333333333,1.0,0.0,0.0,0.9799404848247635,1.0,0.32885390502649586,0.89,0.030941830482760235,0.8863636363636364,0.75,0.8125000000000001,0.7906976744186046,0.6666666666666666,0.7234042553191489,0.8863636363636364,0.75,0.8125000000000001,13
0.49999999995,0.49999999995,1.0,0.0,0.0,0.9705149522044608,1.0,0.288236477365016,1.0,0.013903060638709325,0.625,0.75,0.6818181818181818,0.5070422535211268,0.6101694915254238,0.553846153846154,0.625,0.75,0.6818181818181818,14
0.5833333333041666,0.3333333333,1.0,0.0,0.14285714285714285,0.9278252684832544,0.875,0.0,1.0,0.01138286330681933,0.49382716049382713,0.6451612903225806,0.5594405594405595,0.25,0.32786885245901637,0.28368794326241137,0.2839506172839506,0.3709677419354839,0.32167832167832167,15
0.9999999999,0.49999999995,0.5,0.0,0.0,0.8332704469373031,1.0,0.32553821609100575,0.0,0.018767168855425027,0.4166666666666667,0.2631578947368421,0.3225806451612903,0.2,0.125,0.15384615384615385,0.2777777777777778,0.17543859649122806,0.2150537634408602,16
0.9999999999,0.9999999999,1.0,0.0,0.0,0.9372700789309416,1.0,0.25743545625280784,0.86,0.0,0.6375,0.7083333333333334,0.6710526315789473,0.4430379746835443,0.49295774647887325,0.4666666666666667,0.575,0.6388888888888888,0.6052631578947367,17
0.49999999995,0.49999999995,1.0,0.09090909082644627,0.0,0.9679332546949325,1.0,0.6238193333268289,1.0,0.0,0.813953488372093,0.8235294117647058,0.8187134502923977,0.7176470588235294,0.7261904761904762,0.7218934911242604,0.7209302325581395,0.7294117647058823,0.7251461988304093,18
0.3333333333,0.0,0.0,0.0,0.0,0.8239337314787061,0.75,0.4291937392959693,0.0,0.0,0.23333333333333334,0.6086956521739131,0.3373493975903614,0.13559322033898305,0.36363636363636365,0.19753086419753088,0.21666666666666667,0.5652173913043478,0.3132530120481928,19
