,context_precision_without_reference,context_precision_with_reference,context_recall,context_noise_sensitivity,context_semantic_similarity,faithfulness
0,0.9999999999,0.9999999999,1.0,0.3333333333333333,0.9551371724032256,1.0
1,0.99999999995,0.99999999995,1.0,0.5,0.5871324770101611,1.0
2,0.3333333333,0.0,1.0,0.0,0.6779988308420619,1.0
3,0.9999999999,0.9999999999,1.0,0.3333333333333333,0.7111110785869738,1.0
4,0.5833333333041666,0.0,0.0,0.0,0.5353568450056925,1.0
5,0.9999999999666667,0.9999999999666667,1.0,0.0,0.8088462857227817,1.0
6,0.9999999999,0.9999999999,1.0,0.25,0.9277177453917824,0.75
7,0.49999999995,0.0,0.0,0.0,0.6851951984538818,1.0
8,0.9999999999,0.9999999999,1.0,0.03225806451612903,0.9191736273880675,1.0
9,0.8333333332916666,0.9999999999,1.0,0.5714285714285714,0.892443119780841,1.0
10,0.0,0.0,0.0,0.0,0.7900698969285949,1.0
11,0.9999999999,0.9999999999,0.5,0.0,0.9726482838294608,1.0
12,0.3333333333,0.3333333333,1.0,0.0,0.9799404848247635,1.0
13,0.49999999995,0.49999999995,1.0,0.0,0.9705149522044608,1.0
14,0.5833333333041666,0.3333333333,1.0,0.0,0.9278252684832544,1.0
15,0.8333333332916666,0.49999999995,0.5,0.0,0.8332704469373031,1.0
16,0.9999999999,0.9999999999,1.0,0.1111111111111111,0.9372700789309416,1.0
17,0.49999999995,0.49999999995,1.0,0.0,0.9679332546949325,1.0
18,0.8333333332916666,0.0,0.0,0.0,0.8239337314787061,0.6666666666666666
19,0.49999999995,0.0,0.0,0.0,0.8115172272316512,0.8333333333333334
20,0.0,0.0,0.0,0.0,0.6338604456795337,1.0
21,0.99999999995,0.99999999995,1.0,0.0,0.9484988332387032,1.0
22,0.0,0.49999999995,1.0,0.3333333333333333,0.8187673076857344,0.3333333333333333
23,0.9999999999,0.9999999999,0.0,1.0,0.7300597616566027,1.0
24,0.9999999999,0.0,0.0,1.0,0.8155967539717377,1.0
25,0.49999999995,0.3333333333,0.0,1.0,0.8036719304227133,0.75
26,0.9999999999,0.9999999999,1.0,0.0,0.9973265494931007,1.0
27,0.9999999999,0.0,0.0,0.0,0.7823808133934109,1.0
28,0.9999999999,0.9999999999,1.0,0.6666666666666666,0.7469859595973241,0.5
29,0.9999999999,0.9999999999,1.0,0.3333333333333333,0.8295440400366227,1.0
