,lev_scores,ham_scores,jaro_scores,jw_scores
0,0.859504132231405,0.1900826446280992,0.8226194807669936,0.8935716884601962
1,0.3555555555555555,0.09629629629629632,0.5939814814814814,0.5939814814814814
2,0.4121863799283154,0.07885304659498205,0.6651852039556978,0.6651852039556978
3,0.39473684210526316,0.07017543859649122,0.7024525156919653,0.7024525156919653
4,0.25806451612903225,0.06048387096774188,0.6900649187772695,0.6900649187772695
5,0.5363636363636364,0.10909090909090913,0.688623204752237,0.688623204752237
6,0.7439613526570048,0.18840579710144922,0.819971562682016,0.8919829376092095
7,0.5344827586206897,0.2629310344827587,0.8138744914890986,0.8883246948934592
8,0.49321266968325794,0.09728506787330315,0.6817496229260934,0.6817496229260934
9,0.6460396039603961,0.504950495049505,0.824183876581638,0.8945103259489828
10,0.2069767441860465,0.09534883720930232,0.5993434621590324,0.5993434621590324
11,0.29072164948453605,0.1484536082474227,0.7005066930845073,0.8203040158507044
12,0.27875243664717353,0.15984405458089668,0.6861762268535038,0.6861762268535038
13,0.2326024785510009,0.15061963775023834,0.6301429935388224,0.6301429935388224
14,0.2995495495495496,0.06981981981981977,0.6973734371045021,0.6973734371045021
15,0.2977941176470589,0.15808823529411764,0.6877833833786747,0.6877833833786747
16,0.522887323943662,0.1109154929577465,0.7390063416729246,0.8434038050037548
17,0.2553763440860215,0.09408602150537637,0.6127908007007971,0.6127908007007971
18,0.375,0.125,0.6458601128384592,0.6458601128384592
19,0.19360568383658971,0.14742451154529312,0.6236826792352891,0.6236826792352891
20,0.2655367231638418,0.07909604519774016,0.7120301318267419,0.7120301318267419
21,0.35072463768115947,0.06376811594202902,0.7326882593777454,0.7861506075021963
22,0.28851540616246496,0.06442577030812324,0.6776292163289067,0.6776292163289067
23,0.26739427012278305,0.08049113233287863,0.7456250782887507,0.7456250782887507
24,0.33819241982507287,0.13411078717201164,0.6415611517948011,0.6415611517948011
25,0.10561797752808988,0.15280898876404492,0.5954896804526256,0.5954896804526256
26,0.390625,0.23958333333333337,0.7151375908618899,0.829082554517134
27,0.36118598382749323,0.21024258760107817,0.7386342117706869,0.8431805270624122
28,0.10526315789473684,0.10736842105263156,0.5440675763482781,0.5440675763482781
29,0.6290322580645161,0.08387096774193548,0.7175302912724212,0.7175302912724212
